match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8029647109;1932;1731261181;9247354.0;Team Falcons;8255888.0;BetBoom Team;17272;DreamLeague Season 24 powered by Intel;924557;2;30;9;True;21
8029614768;2189;1731259479;9586443.0;Nethercore;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;924566;1;47;30;True;21
8029557475;599;1731257498;9366914.0;Team Secret;9155525.0;CoolBassный завод;16274;SIVVIT League;924601;0;26;3;True;21
8029531131;1821;1731256674;9586443.0;Nethercore;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;924566;1;18;52;False;21
8029499964;2516;1731256800;8255888.0;BetBoom Team;9247354.0;Team Falcons;17272;DreamLeague Season 24 powered by Intel;924557;2;36;33;True;21
8029463714;2080;1731254645;9593405.0;SVINUSHKI;9238400.0;BeshennayaTamara;16251;Party To Play league;924576;0;18;49;False;21
8029448972;1624;1731254168;9143209.0;пипяо;9445080.0;Hail to the mentors;16274;SIVVIT League;924574;0;29;11;True;21
8029408208;2689;1731253048;8831040.0;Ghost Sheep;9586443.0;Nethercore;17366;Ultras Dota Pro League  2024-25;924566;1;29;46;False;21
8029364010;2236;1731252305;9247354.0;Team Falcons;8255888.0;BetBoom Team;17272;DreamLeague Season 24 powered by Intel;924557;2;31;11;True;21
8029360842;1539;1731251634;1627992.0;=RaStaMaN=;9238400.0;BeshennayaTamara;16251;Party To Play league;924554;0;11;31;False;21
8029351068;2009;1731251346;9593405.0;SVINUSHKI;8993358.0;ProfGameTeam;16251;Party To Play league;924552;0;36;16;True;21
8029339633;1764;1731250998;9230167.0;TSU;9445080.0;Hail to the mentors;16274;SIVVIT League;924547;0;21;39;False;21
8029236480;970;1731248184;9238400.0;BeshennayaTamara;9600111.0;;16251;Party To Play league;924534;0;27;2;True;21
8029222729;2005;1731247778;9530716.0;Air Defence;9492830.0;Prodigy of God;17366;Ultras Dota Pro League  2024-25;924532;1;38;51;False;21
8029220574;2231;1731247750;9593405.0;SVINUSHKI;6165106.0;P2P BOGI;16251;Party To Play league;924530;0;37;19;True;21
8029219703;2405;1731247735;9279976.0;true sf 4 pos player;9595331.0;EternalEmpire;16251;Party To Play league;924529;0;17;19;True;21
8029217392;1232;1731247689;8993358.0;ProfGameTeam;9593879.0;MiracleGeneration;16251;Party To Play league;924528;0;51;8;True;21
8029132588;883;1731245232;9600092.0;;9230167.0;TSU;16274;SIVVIT League;924508;0;7;29;False;21
8029132101;1402;1731245219;9572570.0;Cyber Reqeedrs;9445080.0;Hail to the mentors;16274;SIVVIT League;924510;0;12;34;False;21
8029118001;595;1731244823;;;9143209.0;пипяо;16274;SIVVIT League;0;0;1;20;False;21
8029116193;4482;1731244773;9155525.0;CoolBassный завод;9600113.0;;16274;SIVVIT League;924505;0;45;39;True;21
8029113303;1053;1731244691;9460640.0;ValenTiny;9247685.0;;16274;SIVVIT League;924504;0;35;2;True;21
